date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,outcome,home_advantage,scoreline,home_form,away_form,home_h2h,away_h2h,home_goals_scored,home_goals_conceded,away_goals_scored,away_goals_conceded,home_elo,away_elo,elo_diff,home_weighted_form,away_weighted_form,home_days_rest,away_days_rest,home_goal_diff,away_goal_diff,elo_closeness,form_closeness,combined_attack,combined_defence,expected_goals,home_under25_rate,away_under25_rate,home_clean_sheet_rate,away_clean_sheet_rate,combined_under25,combined_clean_sheets,draw_pressure_index,h2h_draw_rate
2018-03-22,Thailand,Gabon,0.0,0.0,Friendly,Bangkok,Thailand,False,2018,Draw,1,0.0-0.0,0.2,0.1,0.5,0.5,0.9,2.1,0.5,1.1,1511.7333346906662,1448.822738543289,62.91059614737719,0.175,0.11,90,90,-1.2000000000000002,-0.6000000000000001,0.01564685764617201,0.9090909090909091,1.4,3.2,2.3,0.3,0.6,0.1,0.4,0.44999999999999996,0.25,0.112,0.25
2018-03-22,Kyrgyzstan,Myanmar,5.0,1.0,AFC Asian Cup qualification,Incheon,South Korea,True,2018,Home win,0,5.0-1.0,0.6,0.4,0.5,0.5,1.6,0.7,1.5,1.3,1449.894421441396,1370.7382134772095,79.15620796418648,0.557,0.363,90,90,0.9000000000000001,0.19999999999999996,0.012475640070782747,0.8333333333333334,3.1,2.0,2.55,0.6,0.3,0.6,0.3,0.44999999999999996,0.44999999999999996,0.202,0.25
2018-03-22,Malta,Luxembourg,0.0,1.0,Friendly,Attard,Malta,False,2018,Away win,1,0.0-1.0,0.1,0.3,0.5,0.5,0.3,2.1,0.8,2.4,1243.9062258503598,1434.6435854978827,-190.7373596475229,0.107,0.272,90,90,-1.8,-1.5999999999999999,0.005215467668055578,0.8333333333333334,1.1,4.5,2.8,0.6,0.4,0.1,0.2,0.5,0.15000000000000002,0.075,0.5
2018-03-22,Macau,Mauritius,0.0,1.0,Friendly,Macau,Macau,False,2018,Away win,1,0.0-1.0,0.1,0.0,0.5,0.5,0.8,2.2,0.8,2.7,1009.5291442933453,1237.1901278165572,-227.66098352321183,0.08,0.0,90,90,-1.4000000000000001,-1.9000000000000001,0.004373286533592155,0.9090909090909091,1.6,4.9,3.25,0.5,0.3,0.1,0.1,0.4,0.1,0.04,0.25
2018-03-22,Slovakia,United Arab Emirates,2.0,1.0,Friendly,Bangkok,Thailand,True,2018,Home win,0,2.0-1.0,0.6,0.5,0.5,0.5,1.6,0.7,1.2,1.0,1759.2162318421176,1684.9341573062086,74.28207453590903,0.546,0.474,90,90,0.9000000000000001,0.19999999999999996,0.01328337464349507,0.9090909090909091,2.8,1.7,2.25,0.4,0.7,0.5,0.4,0.55,0.45,0.248,0.25
2018-03-23,Azerbaijan,Belarus,0.0,1.0,Friendly,Baku,Azerbaijan,False,2018,Away win,1,0.0-1.0,0.2,0.2,0.5,0.5,1.0,2.0,0.8,2.1,1395.5767337920845,1461.2226185528855,-65.64588476080098,0.16,0.198,52,90,-1.0,-1.3,0.015004677386894991,1.0,1.8,4.1,2.9499999999999997,0.4,0.3,0.2,0.1,0.35,0.15000000000000002,0.053,0.25
2018-03-23,Bulgaria,Bosnia and Herzegovina,0.0,1.0,Friendly,Razgrad,Bulgaria,False,2018,Away win,1,0.0-1.0,0.4,0.4,0.5,0.5,1.1,1.6,1.9,1.1,1640.1848323570423,1720.4971207879737,-80.3122884309314,0.399,0.351,90,51,-0.5,0.7999999999999998,0.012298264128298687,1.0,3.0,2.7,2.85,0.5,0.4,0.3,0.4,0.45,0.35,0.158,0.25
2018-03-23,Curaçao,Bolivia,1.0,1.0,Friendly,Willemstad,Curaçao,False,2018,Draw,1,1.0-1.0,0.2,0.5,0.5,0.5,0.8,0.9,1.1,1.4,1404.8527365756715,1669.6156096988661,-264.7628731231946,0.212,0.475,90,90,-0.09999999999999998,-0.2999999999999998,0.00376275281888772,0.7692307692307692,1.9000000000000001,2.3,2.1,0.7,0.6,0.3,0.5,0.6499999999999999,0.4,0.26,0.25
2018-03-23,Greece,Switzerland,0.0,1.0,Friendly,Athens,Greece,False,2018,Away win,1,0.0-1.0,0.2,0.8,0.2,0.8,1.0,1.0,1.8,0.4,1664.7656337111925,1851.6829307486557,-186.9172970374632,0.157,0.757,90,90,0.0,1.4,0.005321489909471399,0.625,2.8,1.4,2.0999999999999996,0.6,0.7,0.4,0.8,0.6499999999999999,0.6000000000000001,0.39,0.4
2018-03-23,France,Colombia,2.0,3.0,Friendly,Saint-Denis,France,False,2018,Away win,1,2.0-3.0,0.6,0.4,0.5,0.5,2.0,0.9,1.7,0.8,2029.5626442172838,1910.6000701768107,118.9625740404731,0.591,0.375,90,90,1.1,0.8999999999999999,0.008335933169145061,0.8333333333333334,3.7,1.7000000000000002,2.7,0.4,0.5,0.5,0.5,0.45,0.5,0.225,0.25
